"","mode1","mode2","duration_main_pooled_sd","duration_main_cohen_d","duration_main_mean.x","duration_main_sd.x","N.x","duration_main_ci95.x","duration_main_mean.y","duration_main_sd.y","N.y","duration_main_ci95.y"
"1","Baseline","Full",4.47742935783423,0.30363572294474,9.29706916666667,2.55663142465403,20,1.12049312515196,10.6565766666667,5.79295978470964,20,2.53887656642853
"2","Baseline","Low",4.84288358196731,0.419995388163969,9.29706916666667,2.55663142465403,20,1.12049312515196,11.3310579365079,6.28687686201189,21,2.68894164980335
"3","Baseline","Masked",3.09863707502438,0.555218834930235,9.29706916666667,2.55663142465403,20,1.12049312515196,11.0174908333333,3.55903627459777,20,1.55981642070009
"4","Baseline","Moderate",6.01288315078379,0.580519039642224,9.29706916666667,2.55663142465403,20,1.12049312515196,12.7876623188406,7.85711719801955,23,3.21111148989671
"5","Full","Low",6.05128867784081,0.111460765755756,10.6565766666667,5.79295978470964,20,2.53887656642853,11.3310579365079,6.28687686201189,21,2.68894164980335
"6","Full","Masked",4.80755250991427,0.0750723296152003,10.6565766666667,5.79295978470964,20,2.53887656642853,11.0174908333333,3.55903627459777,20,1.55981642070009
"7","Full","Moderate",6.97690208853492,0.305448697019255,10.6565766666667,5.79295978470964,20,2.53887656642853,12.7876623188406,7.85711719801955,23,3.21111148989671
"8","Low","Masked",5.1419951690833,-0.06098160205594,11.3310579365079,6.28687686201189,21,2.68894164980335,11.0174908333333,3.55903627459777,20,1.55981642070009
"9","Low","Moderate",7.15250673366826,0.203649494725551,11.3310579365079,6.28687686201189,21,2.68894164980335,12.7876623188406,7.85711719801955,23,3.21111148989671
"10","Masked","Moderate",6.24465125169918,0.283470031256842,11.0174908333333,3.55903627459777,20,1.55981642070009,12.7876623188406,7.85711719801955,23,3.21111148989671
