"","mode_paper","accuracy_mean","accuracy_sd","N","accuracy_ci95"
"1","Baseline",84.8333333333333,9.70169093599378,20,4.25195352419683
"2","Full",84.1666666666667,7.63762615825973,20,3.34733725021347
"3","Low",78.0952380952381,5.82822905935019,21,2.49277474432126
"4","Masked",74.5,7.19608405530356,20,3.15382289141438
"5","Moderate",84.4927536231884,7.42699795600884,23,3.03532680892054
