"","mode_paper","duration_main_mean","duration_main_sd","N"
"1","Baseline",9.29706916666667,2.55663142465403,20
"2","Full",10.6565766666667,5.79295978470964,20
"3","Low",11.3310579365079,6.28687686201189,21
"4","Masked",11.0174908333333,3.55903627459777,20
"5","Moderate",12.7876623188406,7.85711719801955,23
