"","mode_paper","mean_confidence_mean","mean_confidence_sd","N"
"1","Baseline",2.6,0.32336458119539,20
"2","Full",2.29444444444444,0.33105949595737,20
"3","Low",2.32407407407407,0.371572124386907,21
"4","Masked",2.22083333333333,0.380066489002093,20
"5","Moderate",2.44323671497585,0.352607556649034,23
